instance,strategy,iteration,phase,phase_iteration,lower_bound,best_lower_bound,concorde_optimum
/Users/a/Ayanami/code/TSP/data/classic/tsplib/swiss42.tsp,polyak,1,polyak,1,1107,1107,1273
/Users/a/Ayanami/code/TSP/data/classic/tsplib/swiss42.tsp,polyak,2,polyak,2,993.70000000000005,1107,1273
/Users/a/Ayanami/code/TSP/data/classic/tsplib/swiss42.tsp,polyak,3,polyak,3,1080.9166666666665,1107,1273
/Users/a/Ayanami/code/TSP/data/classic/tsplib/swiss42.tsp,polyak,4,polyak,4,1154.1957575757574,1154.1957575757574,1273
/Users/a/Ayanami/code/TSP/data/classic/tsplib/swiss42.tsp,polyak,5,polyak,5,1181.2150000000001,1181.2150000000001,1273
/Users/a/Ayanami/code/TSP/data/classic/tsplib/swiss42.tsp,polyak,6,polyak,6,1207.8341774891774,1207.8341774891774,1273
/Users/a/Ayanami/code/TSP/data/classic/tsplib/swiss42.tsp,polyak,7,polyak,7,1224.3053478664192,1224.3053478664192,1273
/Users/a/Ayanami/code/TSP/data/classic/tsplib/swiss42.tsp,polyak,8,polyak,8,1238.285851499691,1238.285851499691,1273
/Users/a/Ayanami/code/TSP/data/classic/tsplib/swiss42.tsp,polyak,9,polyak,9,1250.0158890973746,1250.0158890973746,1273
/Users/a/Ayanami/code/TSP/data/classic/tsplib/swiss42.tsp,polyak,10,polyak,10,1256.7025429474472,1256.7025429474472,1273
/Users/a/Ayanami/code/TSP/data/classic/tsplib/swiss42.tsp,polyak,11,polyak,11,1258.7758672114062,1258.7758672114062,1273
/Users/a/Ayanami/code/TSP/data/classic/tsplib/swiss42.tsp,polyak,12,polyak,12,1252.97682158778,1258.7758672114062,1273
/Users/a/Ayanami/code/TSP/data/classic/tsplib/swiss42.tsp,polyak,13,polyak,13,1262.2144603582876,1262.2144603582876,1273
/Users/a/Ayanami/code/TSP/data/classic/tsplib/swiss42.tsp,polyak,14,polyak,14,1260.4584431340584,1262.2144603582876,1273
/Users/a/Ayanami/code/TSP/data/classic/tsplib/swiss42.tsp,polyak,15,polyak,15,1263.7143894151402,1263.7143894151402,1273
/Users/a/Ayanami/code/TSP/data/classic/tsplib/swiss42.tsp,polyak,16,polyak,16,1263.8017268771378,1263.8017268771378,1273
/Users/a/Ayanami/code/TSP/data/classic/tsplib/swiss42.tsp,polyak,17,polyak,17,1264.4421474280932,1264.4421474280932,1273
/Users/a/Ayanami/code/TSP/data/classic/tsplib/swiss42.tsp,polyak,18,polyak,18,1264.2675664558658,1264.4421474280932,1273
/Users/a/Ayanami/code/TSP/data/classic/tsplib/swiss42.tsp,polyak,19,polyak,19,1260.0712242927586,1264.4421474280932,1273
/Users/a/Ayanami/code/TSP/data/classic/tsplib/swiss42.tsp,polyak,20,polyak,20,1259.0732921752306,1264.4421474280932,1273
/Users/a/Ayanami/code/TSP/data/classic/tsplib/swiss42.tsp,polyak,21,polyak,21,1257.7114467343949,1264.4421474280932,1273
/Users/a/Ayanami/code/TSP/data/classic/tsplib/swiss42.tsp,polyak,22,polyak,22,1257.5615878426008,1264.4421474280932,1273
/Users/a/Ayanami/code/TSP/data/classic/tsplib/swiss42.tsp,polyak,23,polyak,23,1259.0844090837136,1264.4421474280932,1273
/Users/a/Ayanami/code/TSP/data/classic/tsplib/swiss42.tsp,polyak,24,polyak,24,1262.2533019789591,1264.4421474280932,1273
/Users/a/Ayanami/code/TSP/data/classic/tsplib/swiss42.tsp,polyak,25,polyak,25,1262.2635254723659,1264.4421474280932,1273
/Users/a/Ayanami/code/TSP/data/classic/tsplib/swiss42.tsp,polyak,26,polyak,26,1263.0363599242321,1264.4421474280932,1273
/Users/a/Ayanami/code/TSP/data/classic/tsplib/swiss42.tsp,polyak,27,polyak,27,1262.4552215984484,1264.4421474280932,1273
/Users/a/Ayanami/code/TSP/data/classic/tsplib/swiss42.tsp,polyak,28,polyak,28,1258.4552215984486,1264.4421474280932,1273
/Users/a/Ayanami/code/TSP/data/classic/tsplib/swiss42.tsp,polyak,29,polyak,29,1254.4552215984488,1264.4421474280932,1273
/Users/a/Ayanami/code/TSP/data/classic/tsplib/swiss42.tsp,polyak,30,polyak,30,1250.4552215984488,1264.4421474280932,1273
/Users/a/Ayanami/code/TSP/data/classic/tsplib/swiss42.tsp,polyak,31,polyak,31,1268.7665947297555,1268.7665947297555,1273
/Users/a/Ayanami/code/TSP/data/classic/tsplib/swiss42.tsp,polyak,32,polyak,32,1270.7383440436381,1270.7383440436381,1273
/Users/a/Ayanami/code/TSP/data/classic/tsplib/swiss42.tsp,polyak,33,polyak,33,1269.6439389144177,1270.7383440436381,1273
/Users/a/Ayanami/code/TSP/data/classic/tsplib/swiss42.tsp,polyak,34,polyak,34,1269.9128038176295,1270.7383440436381,1273
/Users/a/Ayanami/code/TSP/data/classic/tsplib/swiss42.tsp,polyak,35,polyak,35,1269.9325339621785,1270.7383440436381,1273
/Users/a/Ayanami/code/TSP/data/classic/tsplib/swiss42.tsp,polyak,36,polyak,36,1270.0164417871244,1270.7383440436381,1273
/Users/a/Ayanami/code/TSP/data/classic/tsplib/swiss42.tsp,polyak,37,polyak,37,1269.9850849120805,1270.7383440436381,1273
/Users/a/Ayanami/code/TSP/data/classic/tsplib/swiss42.tsp,polyak,38,polyak,38,1270.4494301092238,1270.7383440436381,1273
/Users/a/Ayanami/code/TSP/data/classic/tsplib/swiss42.tsp,polyak,39,polyak,39,1270.0000000000002,1270.7383440436381,1273
/Users/a/Ayanami/code/TSP/data/classic/tsplib/swiss42.tsp,polyak,40,polyak,40,1270.0000000000002,1270.7383440436381,1273
/Users/a/Ayanami/code/TSP/data/classic/tsplib/swiss42.tsp,polyak,41,polyak,41,1270.0000000000002,1270.7383440436381,1273
/Users/a/Ayanami/code/TSP/data/classic/tsplib/swiss42.tsp,polyak,42,polyak,42,1270.0000000000002,1270.7383440436381,1273
/Users/a/Ayanami/code/TSP/data/classic/tsplib/swiss42.tsp,polyak,43,polyak,43,1270.0000000000002,1270.7383440436381,1273
/Users/a/Ayanami/code/TSP/data/classic/tsplib/swiss42.tsp,polyak,44,polyak,44,1270.0000000000002,1270.7383440436381,1273
/Users/a/Ayanami/code/TSP/data/classic/tsplib/swiss42.tsp,polyak,45,polyak,45,1270.0000000000002,1270.7383440436381,1273
/Users/a/Ayanami/code/TSP/data/classic/tsplib/swiss42.tsp,polyak,46,polyak,46,1271.0220949719053,1271.0220949719053,1273
/Users/a/Ayanami/code/TSP/data/classic/tsplib/swiss42.tsp,polyak,47,polyak,47,1271.4367623754024,1271.4367623754024,1273
/Users/a/Ayanami/code/TSP/data/classic/tsplib/swiss42.tsp,polyak,48,polyak,48,1271.3556437778327,1271.4367623754024,1273
/Users/a/Ayanami/code/TSP/data/classic/tsplib/swiss42.tsp,polyak,49,polyak,49,1271.3221781110838,1271.4367623754024,1273
/Users/a/Ayanami/code/TSP/data/classic/tsplib/swiss42.tsp,polyak,50,polyak,50,1271.3389109444581,1271.4367623754024,1273
/Users/a/Ayanami/code/TSP/data/classic/tsplib/swiss42.tsp,polyak,51,polyak,51,1271.3305445277711,1271.4367623754024,1273
/Users/a/Ayanami/code/TSP/data/classic/tsplib/swiss42.tsp,polyak,52,polyak,52,1271.3347277361147,1271.4367623754024,1273
/Users/a/Ayanami/code/TSP/data/classic/tsplib/swiss42.tsp,polyak,53,polyak,53,1271.332636131943,1271.4367623754024,1273
/Users/a/Ayanami/code/TSP/data/classic/tsplib/swiss42.tsp,polyak,54,polyak,54,1271.3336819340288,1271.4367623754024,1273
/Users/a/Ayanami/code/TSP/data/classic/tsplib/swiss42.tsp,polyak,55,polyak,55,1271.333159032986,1271.4367623754024,1273
/Users/a/Ayanami/code/TSP/data/classic/tsplib/swiss42.tsp,polyak,56,polyak,56,1271.3334204835076,1271.4367623754024,1273
/Users/a/Ayanami/code/TSP/data/classic/tsplib/swiss42.tsp,polyak,57,polyak,57,1271.3332897582466,1271.4367623754024,1273
/Users/a/Ayanami/code/TSP/data/classic/tsplib/swiss42.tsp,polyak,58,polyak,58,1271.3333551208768,1271.4367623754024,1273
/Users/a/Ayanami/code/TSP/data/classic/tsplib/swiss42.tsp,polyak,59,polyak,59,1271.3333224395617,1271.4367623754024,1273
/Users/a/Ayanami/code/TSP/data/classic/tsplib/swiss42.tsp,polyak,60,polyak,60,1271.3333387802193,1271.4367623754024,1273
/Users/a/Ayanami/code/TSP/data/classic/tsplib/swiss42.tsp,polyak,61,polyak,61,1271.8301215353365,1271.8301215353365,1273
/Users/a/Ayanami/code/TSP/data/classic/tsplib/swiss42.tsp,polyak,62,polyak,62,1271.6274088484979,1271.8301215353365,1273
/Users/a/Ayanami/code/TSP/data/classic/tsplib/swiss42.tsp,polyak,63,polyak,63,1271.779443363627,1271.8301215353365,1273
/Users/a/Ayanami/code/TSP/data/classic/tsplib/swiss42.tsp,polyak,64,polyak,64,1271.66541747728,1271.8301215353365,1273
/Users/a/Ayanami/code/TSP/data/classic/tsplib/swiss42.tsp,polyak,65,polyak,65,1271.7509368920403,1271.8301215353365,1273
/Users/a/Ayanami/code/TSP/data/classic/tsplib/swiss42.tsp,polyak,66,polyak,66,1271.6867973309702,1271.8301215353365,1273
/Users/a/Ayanami/code/TSP/data/classic/tsplib/swiss42.tsp,polyak,67,polyak,67,1271.7349020017725,1271.8301215353365,1273
/Users/a/Ayanami/code/TSP/data/classic/tsplib/swiss42.tsp,polyak,68,polyak,68,1271.6988234986707,1271.8301215353365,1273
/Users/a/Ayanami/code/TSP/data/classic/tsplib/swiss42.tsp,polyak,69,polyak,69,1271.7258823759973,1271.8301215353365,1273
