run_id,strategy,repeat,instance,status,wall_seconds,result,branches,nodes_expanded,pruned_by_bound,pruned_infeasible,root_potential_iterations,search_node_potential_update_candidates,search_node_potential_updates_triggered,search_node_potential_updates_skipped_strategy_none,search_node_potential_updates_skipped_update_depth_zero,search_node_potential_updates_skipped_budget_exhausted,search_node_potential_updates_skipped_numerically_unsafe,search_node_potential_updates_skipped_invalid_state,search_node_potential_updates_skipped_zero_violation,search_node_potential_updates_skipped_zero_iteration_limit,search_node_potential_updates_skipped_depth_interval,search_node_potential_updates_skipped_gap_below_minimum,search_node_potential_updates_skipped_gap_above_maximum,search_node_potential_iterations
P32-84ca94548940,P32,1,/home/wj/code/TSP/data/classic/tsplib/att48.tsp,ok,0.04119984991848469,10628.0,29,9,20,1,100,26,26,0,0,0,0,0,0,0,0,0,0,332
P32-84ca94548940,P32,1,/home/wj/code/TSP/data/classic/tsplib/bayg29.tsp,ok,0.01686335727572441,1610.0,3,1,2,1,100,2,2,0,0,0,0,0,0,0,0,0,0,7
P32-84ca94548940,P32,1,/home/wj/code/TSP/data/classic/tsplib/bays29.tsp,ok,0.027471747249364853,2020.0,10,3,5,3,100,7,7,0,0,0,0,0,0,0,0,0,0,82
P32-84ca94548940,P32,1,/home/wj/code/TSP/data/classic/tsplib/berlin52.tsp,ok,0.027783222496509552,7542.0,1,0,1,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0
P32-84ca94548940,P32,1,/home/wj/code/TSP/data/classic/tsplib/bier127.tsp,timeout,1800.0,,,,,,,,,,,,,,,,,,,
P32-84ca94548940,P32,1,/home/wj/code/TSP/data/classic/tsplib/brazil58.tsp,ok,0.06577790714800358,25395.0,88,26,62,0,120,82,82,0,0,0,0,0,0,0,0,0,0,1173
P32-84ca94548940,P32,1,/home/wj/code/TSP/data/classic/tsplib/brg180.tsp,timeout,1800.0,,,,,,,,,,,,,,,,,,,
P32-84ca94548940,P32,1,/home/wj/code/TSP/data/classic/tsplib/burma14.tsp,ok,0.003893919289112091,3323.0,1,0,1,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0
P32-84ca94548940,P32,1,/home/wj/code/TSP/data/classic/tsplib/ch130.tsp,ok,315.591917976737,6110.0,205952,62812,143850,0,400,195829,194122,0,0,0,0,0,3,0,0,0,1704,3035962
P32-84ca94548940,P32,1,/home/wj/code/TSP/data/classic/tsplib/ch150.tsp,ok,116.34526353888214,6528.0,60352,18041,42505,0,400,58114,57710,0,0,0,0,0,0,0,0,0,404,895438
P32-84ca94548940,P32,1,/home/wj/code/TSP/data/classic/tsplib/d198.tsp,timeout,1800.0,,,,,,,,,,,,,,,,,,,
P32-84ca94548940,P32,1,/home/wj/code/TSP/data/classic/tsplib/dantzig42.tsp,ok,0.03555566817522049,699.0,3,1,2,0,100,2,2,0,0,0,0,0,0,0,0,0,0,18
P32-84ca94548940,P32,1,/home/wj/code/TSP/data/classic/national/dj38.tsp,ok,0.020483732223510742,6656.0,1,0,1,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0
P32-84ca94548940,P32,1,/home/wj/code/TSP/data/classic/tsplib/eil101.tsp,ok,0.5696642939001322,629.0,695,154,548,0,400,379,352,0,0,0,0,0,1,0,0,0,26,5416
P32-84ca94548940,P32,1,/home/wj/code/TSP/data/classic/tsplib/eil51.tsp,ok,0.10703548789024353,426.0,429,135,298,51,400,411,411,0,0,0,0,0,0,0,0,0,0,6174
