instance,Concorde:status,Concorde:wall_seconds,Concorde:result,Concorde:branches,P32:status,P32:successful_repeats,P32:result,gap0.005-0.03:status,gap0.005-0.03:successful_repeats,gap0.005-0.03:result,result_match,P32:matches_reference,gap0.005-0.03:matches_reference,P32:wall_vs_Concorde_relative_change,gap0.005-0.03:wall_vs_Concorde_relative_change,P32:wall_seconds,gap0.005-0.03:wall_seconds,relative_change:wall_seconds,P32:branches,gap0.005-0.03:branches,relative_change:branches,P32:nodes_expanded,gap0.005-0.03:nodes_expanded,P32:pruned_by_bound,gap0.005-0.03:pruned_by_bound,P32:pruned_infeasible,gap0.005-0.03:pruned_infeasible,P32:root_potential_iterations,gap0.005-0.03:root_potential_iterations,P32:search_node_potential_update_candidates,gap0.005-0.03:search_node_potential_update_candidates,P32:search_node_potential_updates_triggered,gap0.005-0.03:search_node_potential_updates_triggered,P32:search_node_potential_updates_skipped_total,gap0.005-0.03:search_node_potential_updates_skipped_total,relative_change:search_node_potential_updates_skipped_total,P32:search_node_potential_iterations,gap0.005-0.03:search_node_potential_iterations,P32:search_node_potential_updates_skipped_budget_exhausted,gap0.005-0.03:search_node_potential_updates_skipped_budget_exhausted,P32:search_node_potential_updates_skipped_depth_interval,gap0.005-0.03:search_node_potential_updates_skipped_depth_interval,P32:search_node_potential_updates_skipped_gap_above_maximum,gap0.005-0.03:search_node_potential_updates_skipped_gap_above_maximum,P32:search_node_potential_updates_skipped_gap_below_minimum,gap0.005-0.03:search_node_potential_updates_skipped_gap_below_minimum,P32:search_node_potential_updates_skipped_invalid_state,gap0.005-0.03:search_node_potential_updates_skipped_invalid_state,P32:search_node_potential_updates_skipped_numerically_unsafe,gap0.005-0.03:search_node_potential_updates_skipped_numerically_unsafe,P32:search_node_potential_updates_skipped_strategy_none,gap0.005-0.03:search_node_potential_updates_skipped_strategy_none,P32:search_node_potential_updates_skipped_update_depth_zero,gap0.005-0.03:search_node_potential_updates_skipped_update_depth_zero,P32:search_node_potential_updates_skipped_zero_iteration_limit,gap0.005-0.03:search_node_potential_updates_skipped_zero_iteration_limit,P32:search_node_potential_updates_skipped_zero_violation,gap0.005-0.03:search_node_potential_updates_skipped_zero_violation
att48.tsp,ok,0.08958465978503227,10628.0,1.0,ok,1,10628.0,ok,1,10628.0,True,True,True,-0.6340954076313081,-0.3825600320429826,0.03277943842113018,0.055313149467110634,0.6874343225921418,29.0,265.0,8.137931034482758,9.0,207.0,20.0,114.0,1.0,74.0,100.0,100.0,26.0,206.0,26.0,1.0,0.0,205.0,,332.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,204.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
bayg29.tsp,ok,0.023851288482546806,1610.0,1.0,ok,1,1610.0,ok,1,1610.0,True,True,True,-0.33553282791345895,-0.35727500911163035,0.015848398208618164,0.015329819172620773,-0.03272122703954994,3.0,3.0,0.0,1.0,3.0,2.0,0.0,1.0,6.0,100.0,100.0,2.0,2.0,2.0,0.0,0.0,2.0,,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bays29.tsp,ok,0.04078455828130245,2020.0,1.0,ok,1,2020.0,ok,1,2020.0,True,True,True,-0.4686148999616049,0.06111944518925183,0.021672306582331657,0.04327728785574436,0.9968934866871144,10.0,15.0,0.5,3.0,11.0,5.0,2.0,3.0,11.0,100.0,100.0,7.0,10.0,7.0,0.0,0.0,10.0,,82.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
berlin52.tsp,ok,0.05695320665836334,7542.0,1.0,ok,1,7542.0,ok,1,7542.0,True,True,True,-0.5577923517784235,-0.3591837789257901,0.02518514357507229,0.036496538668870926,0.4491296648788776,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
brazil58.tsp,ok,0.09078448079526424,25395.0,1.0,ok,1,25395.0,ok,1,25395.0,True,True,True,-0.4132228188333388,0.7551772690870517,0.053270261734724045,0.15934285707771778,1.9912159596890184,88.0,25075.0,283.9431818181818,26.0,17028.0,62.0,14788.0,0.0,742.0,120.0,120.0,82.0,17027.0,82.0,2.0,0.0,17025.0,,1173.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17025.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
burma14.tsp,ok,0.023742059245705605,3323.0,1.0,ok,1,3323.0,ok,1,3323.0,True,True,True,-0.6582272780728018,0.51953634671254,0.008114388212561607,0.036076921969652176,3.446043376850361,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,36.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dantzig42.tsp,ok,0.043297743424773216,699.0,1.0,ok,1,699.0,ok,1,699.0,True,True,True,-0.3739902850894712,0.18943808810547025,0.027104808017611504,0.05149998515844345,0.900031356982165,3.0,12.0,3.0,1.0,6.0,2.0,6.0,0.0,1.0,100.0,100.0,2.0,5.0,2.0,0.0,0.0,5.0,,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dj38.tsp,ok,0.03762975335121155,6656.0,1.0,ok,1,6656.0,ok,1,6656.0,True,True,True,-0.47175517465320815,-0.037629242582040034,0.0198777224868536,0.03621377423405647,0.8218271362831904,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,32.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eil101.tsp,ok,0.07881497777998447,629.0,1.0,ok,1,629.0,ok,1,629.0,True,True,True,5.986287841349052,15.936756071689608,0.5506241209805012,1.3348700534552336,1.4242854655154207,695.0,163992.0,234.9597122302158,154.0,120115.0,548.0,94615.0,0.0,1480.0,400.0,500.0,379.0,120178.0,352.0,247.0,27.0,119931.0,4440.888888888889,5416.0,6545.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,119930.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
eil51.tsp,ok,0.05758170783519745,426.0,1.0,ok,1,426.0,ok,1,426.0,True,True,True,1.0216468982411304,0.5545974334429797,0.11640988104045391,0.08951637521386147,-0.23102425314949515,429.0,2141.0,3.9906759906759905,135.0,1646.0,298.0,950.0,51.0,552.0,400.0,400.0,411.0,1726.0,411.0,161.0,0.0,1565.0,,6174.0,3293.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1565.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eil76.tsp,ok,0.038888582959771156,538.0,1.0,ok,1,538.0,ok,1,538.0,True,True,True,5.701447384056891,3.6271813176541654,0.2606097925454378,0.17994452454149723,-0.3095250842881372,454.0,4438.0,8.775330396475772,135.0,3635.0,328.0,2427.0,0.0,3.0,364.0,364.0,304.0,3635.0,295.0,30.0,9.0,3605.0,399.55555555555554,5287.0,939.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,3604.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
fri26.tsp,ok,0.029480643570423126,937.0,1.0,ok,1,937.0,ok,1,937.0,True,True,True,-0.40002944279820307,0.06677399177370735,0.017687518149614334,0.03144918382167816,0.7780439039359455,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,45.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
