instance,Concorde:status,Concorde:wall_seconds,Concorde:result,Concorde:branches,P32-no-node-update:status,P32-no-node-update:successful_repeats,P32-no-node-update:result,gap0.005-0.04:status,gap0.005-0.04:successful_repeats,gap0.005-0.04:result,result_match,P32-no-node-update:matches_reference,gap0.005-0.04:matches_reference,P32-no-node-update:wall_vs_Concorde_relative_change,gap0.005-0.04:wall_vs_Concorde_relative_change,P32-no-node-update:wall_seconds,gap0.005-0.04:wall_seconds,relative_change:wall_seconds,P32-no-node-update:branches,gap0.005-0.04:branches,relative_change:branches,P32-no-node-update:nodes_expanded,gap0.005-0.04:nodes_expanded,P32-no-node-update:pruned_by_bound,gap0.005-0.04:pruned_by_bound,P32-no-node-update:pruned_infeasible,gap0.005-0.04:pruned_infeasible,P32-no-node-update:root_potential_iterations,gap0.005-0.04:root_potential_iterations,P32-no-node-update:search_node_potential_update_candidates,gap0.005-0.04:search_node_potential_update_candidates,P32-no-node-update:search_node_potential_updates_triggered,gap0.005-0.04:search_node_potential_updates_triggered,P32-no-node-update:search_node_potential_updates_skipped_total,gap0.005-0.04:search_node_potential_updates_skipped_total,relative_change:search_node_potential_updates_skipped_total,P32-no-node-update:search_node_potential_iterations,gap0.005-0.04:search_node_potential_iterations,P32-no-node-update:search_node_potential_updates_skipped_budget_exhausted,gap0.005-0.04:search_node_potential_updates_skipped_budget_exhausted,P32-no-node-update:search_node_potential_updates_skipped_depth_interval,gap0.005-0.04:search_node_potential_updates_skipped_depth_interval,P32-no-node-update:search_node_potential_updates_skipped_gap_above_maximum,gap0.005-0.04:search_node_potential_updates_skipped_gap_above_maximum,P32-no-node-update:search_node_potential_updates_skipped_gap_below_minimum,gap0.005-0.04:search_node_potential_updates_skipped_gap_below_minimum,P32-no-node-update:search_node_potential_updates_skipped_invalid_state,gap0.005-0.04:search_node_potential_updates_skipped_invalid_state,P32-no-node-update:search_node_potential_updates_skipped_numerically_unsafe,gap0.005-0.04:search_node_potential_updates_skipped_numerically_unsafe,P32-no-node-update:search_node_potential_updates_skipped_strategy_none,gap0.005-0.04:search_node_potential_updates_skipped_strategy_none,P32-no-node-update:search_node_potential_updates_skipped_update_depth_zero,gap0.005-0.04:search_node_potential_updates_skipped_update_depth_zero,P32-no-node-update:search_node_potential_updates_skipped_zero_iteration_limit,gap0.005-0.04:search_node_potential_updates_skipped_zero_iteration_limit,P32-no-node-update:search_node_potential_updates_skipped_zero_violation,gap0.005-0.04:search_node_potential_updates_skipped_zero_violation
att48.tsp,ok,0.08958465978503227,10628.0,1.0,ok,1,10628.0,ok,1,10628.0,True,True,True,-0.2563379556605395,-0.3818412730465397,0.06662071123719215,0.0553775392472744,-0.16876391412106484,373.0,265.0,-0.28954423592493295,281.0,207.0,155.0,114.0,111.0,74.0,100.0,100.0,280.0,206.0,0.0,1.0,280.0,205.0,-0.2678571428571429,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,204.0,0.0,0.0,0.0,0.0,280.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
bayg29.tsp,ok,0.023851288482546806,1610.0,1.0,ok,1,1610.0,ok,1,1610.0,True,True,True,-0.3552286310500776,-0.35332672709224466,0.015378627926111221,0.015423990786075592,0.002949733889286099,3.0,3.0,0.0,3.0,3.0,0.0,0.0,6.0,6.0,100.0,100.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bays29.tsp,ok,0.04078455828130245,2020.0,1.0,ok,1,2020.0,ok,1,2020.0,True,True,True,-0.18620967267921418,-0.08999301837322848,0.033190079033374786,0.037114232778549194,0.1182327327762136,15.0,15.0,0.0,11.0,11.0,2.0,2.0,11.0,11.0,100.0,100.0,10.0,10.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
berlin52.tsp,ok,0.05695320665836334,7542.0,1.0,ok,1,7542.0,ok,1,7542.0,True,True,True,-0.44631230107284936,-0.33694109074544787,0.03153428994119167,0.0377633310854435,0.19753231025237494,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
brazil58.tsp,ok,0.09078448079526424,25395.0,1.0,ok,1,25395.0,ok,1,25395.0,True,True,True,4.406026260358964,0.1892877256327392,0.4907832872122526,0.10796886868774891,-0.7800070387460957,168561.0,25075.0,-0.8512407971001597,112098.0,17028.0,101529.0,14788.0,5737.0,742.0,120.0,120.0,112097.0,17027.0,0.0,2.0,112097.0,17025.0,-0.8481226080983434,0.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17025.0,0.0,0.0,0.0,0.0,112097.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
burma14.tsp,ok,0.023742059245705605,3323.0,1.0,ok,1,3323.0,ok,1,3323.0,True,True,True,0.6411030202124972,0.7535648634232308,0.03896316513419151,0.041633240878582,0.06852820440009388,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,36.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dantzig42.tsp,ok,0.043297743424773216,699.0,1.0,ok,1,699.0,ok,1,699.0,True,True,True,-0.032883466028980735,0.1264239276939394,0.04187396354973316,0.04877161420881748,0.1647240928337741,12.0,12.0,0.0,6.0,6.0,6.0,6.0,1.0,1.0,100.0,100.0,5.0,5.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dj38.tsp,ok,0.03762975335121155,6656.0,1.0,ok,1,6656.0,ok,1,6656.0,True,True,True,-0.14446519013657833,0.33257502108668713,0.032193563878536224,0.05014446936547756,0.5575929882963155,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,32.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eil101.tsp,ok,0.07881497777998447,629.0,1.0,ok,1,629.0,ok,1,629.0,True,True,True,158.510456233215,16.051528155254772,12.571813063696027,1.3439158126711845,-0.8931008752785191,3763318.0,163992.0,-0.9564235602731419,2747059.0,120115.0,1946823.0,94615.0,434189.0,1480.0,500.0,500.0,2747057.0,120178.0,0.0,247.0,2747057.0,119931.0,-0.9563420052805602,0.0,6545.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119930.0,0.0,0.0,0.0,0.0,2747057.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
eil51.tsp,ok,0.05758170783519745,426.0,1.0,ok,1,426.0,ok,1,426.0,True,True,True,0.6164648548240885,0.6690435228840423,0.09307880699634552,0.0961063764989376,0.03252694786591914,18700.0,2141.0,-0.8855080213903743,15848.0,1646.0,7304.0,950.0,6720.0,552.0,400.0,400.0,15847.0,1726.0,0.0,161.0,15847.0,1565.0,-0.9012431375023664,0.0,3293.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1565.0,0.0,0.0,0.0,0.0,15847.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
