instance,Concorde:status,Concorde:wall_seconds,Concorde:result,Concorde:branches,P32:status,P32:successful_repeats,P32:result,P33>5%64:status,P33>5%64:successful_repeats,P33>5%64:result,result_match,P32:matches_reference,P33>5%64:matches_reference,P32:wall_vs_Concorde_relative_change,P33>5%64:wall_vs_Concorde_relative_change,P32:wall_seconds,P33>5%64:wall_seconds,relative_change:wall_seconds,P32:branches,P33>5%64:branches,relative_change:branches,P32:nodes_expanded,P33>5%64:nodes_expanded,P32:pruned_by_bound,P33>5%64:pruned_by_bound,P32:pruned_infeasible,P33>5%64:pruned_infeasible,P32:root_potential_iterations,P33>5%64:root_potential_iterations,P32:search_node_potential_update_candidates,P33>5%64:search_node_potential_update_candidates,P32:search_node_potential_updates_triggered,P33>5%64:search_node_potential_updates_triggered,P32:search_node_potential_updates_skipped_total,P33>5%64:search_node_potential_updates_skipped_total,relative_change:search_node_potential_updates_skipped_total,P32:search_node_potential_iterations,P33>5%64:search_node_potential_iterations,P32:search_node_potential_updates_skipped_budget_exhausted,P33>5%64:search_node_potential_updates_skipped_budget_exhausted,P32:search_node_potential_updates_skipped_depth_interval,P33>5%64:search_node_potential_updates_skipped_depth_interval,P32:search_node_potential_updates_skipped_gap_above_maximum,P33>5%64:search_node_potential_updates_skipped_gap_above_maximum,P32:search_node_potential_updates_skipped_gap_below_minimum,P33>5%64:search_node_potential_updates_skipped_gap_below_minimum,P32:search_node_potential_updates_skipped_invalid_state,P33>5%64:search_node_potential_updates_skipped_invalid_state,P32:search_node_potential_updates_skipped_numerically_unsafe,P33>5%64:search_node_potential_updates_skipped_numerically_unsafe,P32:search_node_potential_updates_skipped_strategy_none,P33>5%64:search_node_potential_updates_skipped_strategy_none,P32:search_node_potential_updates_skipped_update_depth_zero,P33>5%64:search_node_potential_updates_skipped_update_depth_zero,P32:search_node_potential_updates_skipped_zero_iteration_limit,P33>5%64:search_node_potential_updates_skipped_zero_iteration_limit,P32:search_node_potential_updates_skipped_zero_violation,P33>5%64:search_node_potential_updates_skipped_zero_violation
att48.tsp,ok,0.08958465978503227,10628.0,1.0,ok,1,10628.0,ok,1,10628.0,True,True,True,-0.6340954076313081,-0.4621771505040877,0.03277943842113018,0.048180676996707916,0.4698444914678537,29.0,373.0,11.862068965517242,9.0,281.0,20.0,155.0,1.0,111.0,100.0,100.0,26.0,280.0,26.0,0.0,0.0,280.0,,332.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,280.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bayg29.tsp,ok,0.023851288482546806,1610.0,1.0,ok,1,1610.0,ok,1,1610.0,True,True,True,-0.33553282791345895,-0.31133060415243563,0.015848398208618164,0.01642565242946148,0.03642350559625718,3.0,3.0,0.0,1.0,3.0,2.0,0.0,1.0,6.0,100.0,100.0,2.0,2.0,2.0,0.0,0.0,2.0,,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bays29.tsp,ok,0.04078455828130245,2020.0,1.0,ok,1,2020.0,ok,1,2020.0,True,True,True,-0.4686148999616049,-0.19707633931847868,0.021672306582331657,0.03274688683450222,0.5110014575559352,10.0,15.0,0.5,3.0,11.0,5.0,2.0,3.0,11.0,100.0,100.0,7.0,10.0,7.0,0.0,0.0,10.0,,82.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
berlin52.tsp,ok,0.05695320665836334,7542.0,1.0,ok,1,7542.0,ok,1,7542.0,True,True,True,-0.5577923517784235,-0.20615854910892406,0.02518514357507229,0.04521181620657444,0.7951780211935786,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
brazil58.tsp,ok,0.09078448079526424,25395.0,1.0,ok,1,25395.0,ok,1,25395.0,True,True,True,-0.4132228188333388,4.639683417656713,0.053270261734724045,0.5119957309216261,8.611286189492915,88.0,168561.0,1914.465909090909,26.0,112098.0,62.0,101529.0,0.0,5737.0,120.0,120.0,82.0,112097.0,82.0,0.0,0.0,112097.0,,1173.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112097.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
burma14.tsp,ok,0.023742059245705605,3323.0,1.0,ok,1,3323.0,ok,1,3323.0,True,True,True,-0.6582272780728018,0.023205102043938552,0.008114388212561607,0.024292996153235435,1.9938173423386716,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,36.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dantzig42.tsp,ok,0.043297743424773216,699.0,1.0,ok,1,699.0,ok,1,699.0,True,True,True,-0.3739902850894712,-0.19722577025143884,0.027104808017611504,0.03475831262767315,0.28236704739206187,3.0,12.0,3.0,1.0,6.0,2.0,6.0,0.0,1.0,100.0,100.0,2.0,5.0,2.0,0.0,0.0,5.0,,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dj38.tsp,ok,0.03762975335121155,6656.0,1.0,ok,1,6656.0,ok,1,6656.0,True,True,True,-0.47175517465320815,-0.31669753770854037,0.0198777224868536,0.025712503120303154,0.2935336599707772,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,32.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eil101.tsp,ok,0.07881497777998447,629.0,1.0,ok,1,629.0,ok,1,629.0,True,True,True,5.986287841349052,160.0041032797382,0.5506241209805012,12.68953482247889,22.045729997956727,695.0,3763318.0,5413.846043165468,154.0,2747059.0,548.0,1946823.0,0.0,434189.0,400.0,500.0,379.0,2747057.0,352.0,0.0,27.0,2747057.0,101741.85185185185,5416.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,2747056.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
eil51.tsp,ok,0.05758170783519745,426.0,1.0,ok,1,426.0,ok,1,426.0,True,True,True,1.0216468982411304,0.6874779872797854,0.11640988104045391,0.09716786444187164,-0.16529538924531173,429.0,18700.0,42.58974358974359,135.0,15848.0,298.0,7304.0,51.0,6720.0,400.0,400.0,411.0,15847.0,411.0,0.0,0.0,15847.0,,6174.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15846.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
