instance,Concorde:status,Concorde:wall_seconds,Concorde:result,Concorde:branches,P33>1%128:status,P33>1%128:successful_repeats,P33>1%128:result,P33>2%64:status,P33>2%64:successful_repeats,P33>2%64:result,result_match,P33>1%128:matches_reference,P33>2%64:matches_reference,P33>1%128:wall_vs_Concorde_relative_change,P33>2%64:wall_vs_Concorde_relative_change,P33>1%128:wall_seconds,P33>2%64:wall_seconds,relative_change:wall_seconds,P33>1%128:branches,P33>2%64:branches,relative_change:branches,P33>1%128:nodes_expanded,P33>2%64:nodes_expanded,P33>1%128:pruned_by_bound,P33>2%64:pruned_by_bound,P33>1%128:pruned_infeasible,P33>2%64:pruned_infeasible,P33>1%128:root_potential_iterations,P33>2%64:root_potential_iterations,P33>1%128:search_node_potential_update_candidates,P33>2%64:search_node_potential_update_candidates,P33>1%128:search_node_potential_updates_triggered,P33>2%64:search_node_potential_updates_triggered,P33>1%128:search_node_potential_updates_skipped_total,P33>2%64:search_node_potential_updates_skipped_total,relative_change:search_node_potential_updates_skipped_total,P33>1%128:search_node_potential_iterations,P33>2%64:search_node_potential_iterations,P33>1%128:search_node_potential_updates_skipped_budget_exhausted,P33>2%64:search_node_potential_updates_skipped_budget_exhausted,P33>1%128:search_node_potential_updates_skipped_depth_interval,P33>2%64:search_node_potential_updates_skipped_depth_interval,P33>1%128:search_node_potential_updates_skipped_gap_above_maximum,P33>2%64:search_node_potential_updates_skipped_gap_above_maximum,P33>1%128:search_node_potential_updates_skipped_gap_below_minimum,P33>2%64:search_node_potential_updates_skipped_gap_below_minimum,P33>1%128:search_node_potential_updates_skipped_invalid_state,P33>2%64:search_node_potential_updates_skipped_invalid_state,P33>1%128:search_node_potential_updates_skipped_numerically_unsafe,P33>2%64:search_node_potential_updates_skipped_numerically_unsafe,P33>1%128:search_node_potential_updates_skipped_strategy_none,P33>2%64:search_node_potential_updates_skipped_strategy_none,P33>1%128:search_node_potential_updates_skipped_update_depth_zero,P33>2%64:search_node_potential_updates_skipped_update_depth_zero,P33>1%128:search_node_potential_updates_skipped_zero_iteration_limit,P33>2%64:search_node_potential_updates_skipped_zero_iteration_limit,P33>1%128:search_node_potential_updates_skipped_zero_violation,P33>2%64:search_node_potential_updates_skipped_zero_violation
att48.tsp,ok,0.08958465978503227,10628.0,1.0,ok,1,10628.0,ok,1,10628.0,True,True,True,-0.4799846338728707,-0.3375597390835605,0.04658539965748787,0.05934448540210724,0.2738859350446412,373.0,373.0,0.0,281.0,281.0,155.0,155.0,111.0,111.0,100.0,100.0,280.0,280.0,0.0,0.0,280.0,280.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,280.0,280.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bayg29.tsp,ok,0.023851288482546806,1610.0,1.0,ok,1,1610.0,ok,1,1610.0,True,True,True,0.8739011280147548,-0.3541596788707717,0.04469495639204979,0.015404123812913895,-0.6553498413155643,3.0,3.0,0.0,3.0,3.0,0.0,0.0,6.0,6.0,100.0,100.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bays29.tsp,ok,0.04078455828130245,2020.0,1.0,ok,1,2020.0,ok,1,2020.0,True,True,True,-0.7757533632903443,0.3123790449260626,0.009145800024271011,0.05352479964494705,4.85239120721026,15.0,15.0,0.0,11.0,11.0,2.0,2.0,11.0,11.0,100.0,100.0,10.0,10.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
berlin52.tsp,ok,0.05695320665836334,7542.0,1.0,ok,1,7542.0,ok,1,7542.0,True,True,True,-0.2462018241448013,-0.17578841542464607,0.042931223288178444,0.04694149270653725,0.09341148728606274,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
brazil58.tsp,ok,0.09078448079526424,25395.0,1.0,ok,1,25395.0,ok,1,25395.0,True,True,True,4.7233336001255815,4.328197818498396,0.5195898693054914,0.4837176725268364,-0.06903944610506652,168561.0,168561.0,0.0,112098.0,112098.0,101529.0,101529.0,5737.0,5737.0,120.0,120.0,112097.0,112097.0,0.0,0.0,112097.0,112097.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112097.0,112097.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
burma14.tsp,ok,0.023742059245705605,3323.0,1.0,ok,1,3323.0,ok,1,3323.0,True,True,True,0.7198796430778491,-0.5458054460934563,0.0408334843814373,0.010783514007925987,-0.7359149195499927,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,36.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dantzig42.tsp,ok,0.043297743424773216,699.0,1.0,ok,1,699.0,ok,1,699.0,True,True,True,0.3901932601512246,0.0788738832742053,0.060192231088876724,0.04671280458569527,-0.22393963904209557,12.0,12.0,0.0,6.0,6.0,6.0,6.0,1.0,1.0,100.0,100.0,5.0,5.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dj38.tsp,ok,0.03762975335121155,6656.0,1.0,ok,1,6656.0,ok,1,6656.0,True,True,True,0.633462988409252,-0.15547580673902794,0.06146680936217308,0.03177923709154129,-0.48298541243140625,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,32.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eil101.tsp,ok,0.07881497777998447,629.0,1.0,ok,1,629.0,ok,1,629.0,True,True,True,161.16817288131114,160.27812016547261,12.781280942261219,12.71113145723939,-0.005488454978708757,3749913.0,3753746.0,0.0010221570473767372,2747059.0,2747059.0,1934279.0,1940110.0,434173.0,434193.0,500.0,500.0,2747057.0,2747057.0,22.0,12.0,2747035.0,2747045.0,3.640288529282998e-06,2816.0,768.0,0.0,0.0,0.0,0.0,0.0,0.0,2747034.0,2747044.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
eil51.tsp,ok,0.05758170783519745,426.0,1.0,ok,1,426.0,ok,1,426.0,True,True,True,1.0689242369074616,0.884955151629957,0.11913219094276428,0.10853893682360649,-0.08892016536695102,12190.0,18700.0,0.5340442986054144,10177.0,15848.0,4934.0,7304.0,4102.0,6720.0,400.0,400.0,10183.0,15847.0,46.0,0.0,10137.0,15847.0,0.5632830225905101,5074.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10137.0,15846.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
