instance,Concorde:status,Concorde:wall_seconds,Concorde:result,Concorde:branches,gap0.005-0.02:status,gap0.005-0.02:successful_repeats,gap0.005-0.02:result,gap0.005-0.03:status,gap0.005-0.03:successful_repeats,gap0.005-0.03:result,result_match,gap0.005-0.02:matches_reference,gap0.005-0.03:matches_reference,gap0.005-0.02:wall_vs_Concorde_relative_change,gap0.005-0.03:wall_vs_Concorde_relative_change,gap0.005-0.02:wall_seconds,gap0.005-0.03:wall_seconds,relative_change:wall_seconds,gap0.005-0.02:branches,gap0.005-0.03:branches,relative_change:branches,gap0.005-0.02:nodes_expanded,gap0.005-0.03:nodes_expanded,gap0.005-0.02:pruned_by_bound,gap0.005-0.03:pruned_by_bound,gap0.005-0.02:pruned_infeasible,gap0.005-0.03:pruned_infeasible,gap0.005-0.02:root_potential_iterations,gap0.005-0.03:root_potential_iterations,gap0.005-0.02:search_node_potential_update_candidates,gap0.005-0.03:search_node_potential_update_candidates,gap0.005-0.02:search_node_potential_updates_triggered,gap0.005-0.03:search_node_potential_updates_triggered,gap0.005-0.02:search_node_potential_updates_skipped_total,gap0.005-0.03:search_node_potential_updates_skipped_total,relative_change:search_node_potential_updates_skipped_total,gap0.005-0.02:search_node_potential_iterations,gap0.005-0.03:search_node_potential_iterations,gap0.005-0.02:search_node_potential_updates_skipped_budget_exhausted,gap0.005-0.03:search_node_potential_updates_skipped_budget_exhausted,gap0.005-0.02:search_node_potential_updates_skipped_depth_interval,gap0.005-0.03:search_node_potential_updates_skipped_depth_interval,gap0.005-0.02:search_node_potential_updates_skipped_gap_above_maximum,gap0.005-0.03:search_node_potential_updates_skipped_gap_above_maximum,gap0.005-0.02:search_node_potential_updates_skipped_gap_below_minimum,gap0.005-0.03:search_node_potential_updates_skipped_gap_below_minimum,gap0.005-0.02:search_node_potential_updates_skipped_invalid_state,gap0.005-0.03:search_node_potential_updates_skipped_invalid_state,gap0.005-0.02:search_node_potential_updates_skipped_numerically_unsafe,gap0.005-0.03:search_node_potential_updates_skipped_numerically_unsafe,gap0.005-0.02:search_node_potential_updates_skipped_strategy_none,gap0.005-0.03:search_node_potential_updates_skipped_strategy_none,gap0.005-0.02:search_node_potential_updates_skipped_update_depth_zero,gap0.005-0.03:search_node_potential_updates_skipped_update_depth_zero,gap0.005-0.02:search_node_potential_updates_skipped_zero_iteration_limit,gap0.005-0.03:search_node_potential_updates_skipped_zero_iteration_limit,gap0.005-0.02:search_node_potential_updates_skipped_zero_violation,gap0.005-0.03:search_node_potential_updates_skipped_zero_violation
att48.tsp,ok,0.08958465978503227,10628.0,1.0,ok,1,10628.0,ok,1,10628.0,True,True,True,-0.41763055999661336,-0.3825600320429826,0.05217136815190315,0.055313149467110634,0.06022041258453892,265.0,265.0,0.0,207.0,207.0,114.0,114.0,74.0,74.0,100.0,100.0,206.0,206.0,1.0,1.0,205.0,205.0,0.0,32.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,204.0,204.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
bayg29.tsp,ok,0.023851288482546806,1610.0,1.0,ok,1,1610.0,ok,1,1610.0,True,True,True,1.0012887870992904,-0.35727500911163035,0.04773331619799137,0.015329819172620773,-0.6788444551173702,3.0,3.0,0.0,3.0,3.0,0.0,0.0,6.0,6.0,100.0,100.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bays29.tsp,ok,0.04078455828130245,2020.0,1.0,ok,1,2020.0,ok,1,2020.0,True,True,True,0.19199432518469206,0.06111944518925183,0.04861496202647686,0.04327728785574436,-0.10979488511840196,15.0,15.0,0.0,11.0,11.0,2.0,2.0,11.0,11.0,100.0,100.0,10.0,10.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
berlin52.tsp,ok,0.05695320665836334,7542.0,1.0,ok,1,7542.0,ok,1,7542.0,True,True,True,-0.7956942451266528,-0.3591837789257901,0.01163586787879467,0.036496538668870926,2.1365549221629276,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
brazil58.tsp,ok,0.09078448079526424,25395.0,1.0,ok,1,25395.0,ok,1,25395.0,True,True,True,0.4402743012773591,0.7551772690870517,0.13075455464422703,0.15934285707771778,0.21864096827278634,25075.0,25075.0,0.0,17028.0,17028.0,14788.0,14788.0,742.0,742.0,120.0,120.0,17027.0,17027.0,2.0,2.0,17025.0,17025.0,0.0,64.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,17025.0,17025.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
burma14.tsp,ok,0.023742059245705605,3323.0,1.0,ok,1,3323.0,ok,1,3323.0,True,True,True,-0.6133732755257338,0.51953634671254,0.009179314598441124,0.036076921969652176,2.9302413685417137,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,36.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dantzig42.tsp,ok,0.043297743424773216,699.0,1.0,ok,1,699.0,ok,1,699.0,True,True,True,0.7137215141865889,0.18943808810547025,0.07420027442276478,0.05149998515844345,-0.3059326861108864,12.0,12.0,0.0,6.0,6.0,6.0,6.0,1.0,1.0,100.0,100.0,5.0,5.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dj38.tsp,ok,0.03762975335121155,6656.0,1.0,ok,1,6656.0,ok,1,6656.0,True,True,True,-0.58348056064848,-0.037629242582040034,0.015673523768782616,0.03621377423405647,1.3105062249105996,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,32.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eil101.tsp,ok,0.07881497777998447,629.0,1.0,ok,1,629.0,ok,1,629.0,True,True,True,2.7767727339963546,15.936756071689608,0.2976662591099739,1.3348700534552336,3.4844520082541868,6655.0,163992.0,23.641923365890307,4581.0,120115.0,3804.0,94615.0,1.0,1480.0,400.0,500.0,4634.0,120178.0,86.0,247.0,4548.0,119931.0,25.37005277044855,1398.0,6545.0,0.0,0.0,0.0,0.0,26.0,0.0,4520.0,119930.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0
eil51.tsp,ok,0.05758170783519745,426.0,1.0,ok,1,426.0,ok,1,426.0,True,True,True,0.6716218092392223,0.5545974334429797,0.09625483863055706,0.08951637521386147,-0.0700064901937969,2141.0,2141.0,0.0,1646.0,1646.0,950.0,950.0,552.0,552.0,400.0,400.0,1726.0,1726.0,161.0,161.0,1565.0,1565.0,0.0,3293.0,3293.0,0.0,0.0,0.0,0.0,0.0,0.0,1565.0,1565.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
