strategy,iteration,phase,phase_iteration,lower_bound,best_lower_bound
polyak,1,polyak,1,1124,1124
polyak,2,polyak,2,1083.4736842105265,1124
polyak,3,polyak,3,1133.3888292158977,1133.3888292158977
polyak,4,polyak,4,1143.1846401718587,1143.1846401718587
polyak,5,polyak,5,1122.5454335839606,1143.1846401718587
polyak,6,polyak,6,1133.5878924898461,1143.1846401718587
polyak,7,polyak,7,1138.7791201484833,1143.1846401718587
polyak,8,polyak,8,1133.2845550961151,1143.1846401718587
polyak,9,polyak,9,1123.102582583703,1143.1846401718587
polyak,10,polyak,10,1145.9442973221319,1145.9442973221319
polyak,11,polyak,11,1152.9441959315868,1152.9441959315868
polyak,12,polyak,12,1158.6754413460319,1158.6754413460319
polyak,13,polyak,13,1142.0580077717757,1158.6754413460319
polyak,14,polyak,14,1149.7880802371669,1158.6754413460319
polyak,15,polyak,15,1141.0304349019502,1158.6754413460319
polyak,16,polyak,16,1138.0621673024614,1158.6754413460319
polyak,17,polyak,17,1162.8610118578956,1162.8610118578956
polyak,18,polyak,18,1165.3455238675499,1165.3455238675499
polyak,19,polyak,19,1149.0697003587527,1165.3455238675499
polyak,20,polyak,20,1145.0716612230578,1165.3455238675499
polyak,21,polyak,21,1146.9916653203363,1165.3455238675499
polyak,22,polyak,22,1146.985121293385,1165.3455238675499
polyak,23,polyak,23,1136.4416817796698,1165.3455238675499
polyak,24,polyak,24,1149.9860960125629,1165.3455238675499
polyak,25,polyak,25,1146.2812394583818,1165.3455238675499
polyak,26,polyak,26,1151.499731793456,1165.3455238675499
polyak,27,polyak,27,1150.4873322794726,1165.3455238675499
polyak,28,polyak,28,1148.9864514786341,1165.3455238675499
polyak,29,polyak,29,1158.1706993887915,1165.3455238675499
polyak,30,polyak,30,1154.664797495413,1165.3455238675499
polyak,31,polyak,31,1144.4975109501772,1165.3455238675499
polyak,32,polyak,32,1176.2969672486402,1176.2969672486402
polyak,33,polyak,33,1186.5595830404768,1186.5595830404768
polyak,34,polyak,34,1191.1691262960057,1191.1691262960057
