instance,strategy,iteration,phase,phase_iteration,lower_bound,best_lower_bound,concorde_optimum
/Users/a/Ayanami/code/TSP/data/classic/tsplib/att48.tsp,polyak,1,polyak,1,9029,9029,10628
/Users/a/Ayanami/code/TSP/data/classic/tsplib/att48.tsp,polyak,2,polyak,2,8253.0000000000018,9029,10628
/Users/a/Ayanami/code/TSP/data/classic/tsplib/att48.tsp,polyak,3,polyak,3,8713.3683473389392,9029,10628
/Users/a/Ayanami/code/TSP/data/classic/tsplib/att48.tsp,polyak,4,polyak,4,9226.5251252016023,9226.5251252016023,10628
/Users/a/Ayanami/code/TSP/data/classic/tsplib/att48.tsp,polyak,5,polyak,5,9132.4203189693471,9226.5251252016023,10628
/Users/a/Ayanami/code/TSP/data/classic/tsplib/att48.tsp,polyak,6,polyak,6,9342.499236647529,9342.499236647529,10628
/Users/a/Ayanami/code/TSP/data/classic/tsplib/att48.tsp,polyak,7,polyak,7,9191.5346133192397,9342.499236647529,10628
/Users/a/Ayanami/code/TSP/data/classic/tsplib/att48.tsp,polyak,8,polyak,8,9114.8861841169619,9342.499236647529,10628
/Users/a/Ayanami/code/TSP/data/classic/tsplib/att48.tsp,polyak,9,polyak,9,9544.5404427180219,9544.5404427180219,10628
/Users/a/Ayanami/code/TSP/data/classic/tsplib/att48.tsp,polyak,10,polyak,10,9564.2777078399995,9564.2777078399995,10628
/Users/a/Ayanami/code/TSP/data/classic/tsplib/att48.tsp,polyak,11,polyak,11,9662.2877960582773,9662.2877960582773,10628
/Users/a/Ayanami/code/TSP/data/classic/tsplib/att48.tsp,polyak,12,polyak,12,9441.1004014162409,9662.2877960582773,10628
/Users/a/Ayanami/code/TSP/data/classic/tsplib/att48.tsp,polyak,13,polyak,13,9705.7812092163804,9705.7812092163804,10628
/Users/a/Ayanami/code/TSP/data/classic/tsplib/att48.tsp,polyak,14,polyak,14,9555.0718325976504,9705.7812092163804,10628
/Users/a/Ayanami/code/TSP/data/classic/tsplib/att48.tsp,polyak,15,polyak,15,9528.7774894028535,9705.7812092163804,10628
/Users/a/Ayanami/code/TSP/data/classic/tsplib/att48.tsp,polyak,16,polyak,16,9857.0934313913494,9857.0934313913494,10628
/Users/a/Ayanami/code/TSP/data/classic/tsplib/att48.tsp,polyak,17,polyak,17,9993.9202358199491,9993.9202358199491,10628
/Users/a/Ayanami/code/TSP/data/classic/tsplib/att48.tsp,polyak,18,polyak,18,9912.6618585517899,9993.9202358199491,10628
/Users/a/Ayanami/code/TSP/data/classic/tsplib/att48.tsp,polyak,19,polyak,19,10106.234221105513,10106.234221105513,10628
/Users/a/Ayanami/code/TSP/data/classic/tsplib/att48.tsp,polyak,20,polyak,20,9802.2903055468432,10106.234221105513,10628
/Users/a/Ayanami/code/TSP/data/classic/tsplib/att48.tsp,polyak,21,polyak,21,10113.338131382056,10113.338131382056,10628
/Users/a/Ayanami/code/TSP/data/classic/tsplib/att48.tsp,polyak,22,polyak,22,10088.43311191578,10113.338131382056,10628
/Users/a/Ayanami/code/TSP/data/classic/tsplib/att48.tsp,polyak,23,polyak,23,10186.090039908824,10186.090039908824,10628
/Users/a/Ayanami/code/TSP/data/classic/tsplib/att48.tsp,polyak,24,polyak,24,10120.280782073853,10186.090039908824,10628
/Users/a/Ayanami/code/TSP/data/classic/tsplib/att48.tsp,polyak,25,polyak,25,10086.739503099978,10186.090039908824,10628
/Users/a/Ayanami/code/TSP/data/classic/tsplib/att48.tsp,polyak,26,polyak,26,10151.833453743075,10186.090039908824,10628
/Users/a/Ayanami/code/TSP/data/classic/tsplib/att48.tsp,polyak,27,polyak,27,10192.933524707661,10192.933524707661,10628
/Users/a/Ayanami/code/TSP/data/classic/tsplib/att48.tsp,polyak,28,polyak,28,10177.001502589752,10192.933524707661,10628
/Users/a/Ayanami/code/TSP/data/classic/tsplib/att48.tsp,polyak,29,polyak,29,10203.82649969713,10203.82649969713,10628
/Users/a/Ayanami/code/TSP/data/classic/tsplib/att48.tsp,polyak,30,polyak,30,10163.604270975595,10203.82649969713,10628
/Users/a/Ayanami/code/TSP/data/classic/tsplib/att48.tsp,polyak,31,polyak,31,10244.078543332587,10244.078543332587,10628
/Users/a/Ayanami/code/TSP/data/classic/tsplib/att48.tsp,polyak,32,polyak,32,10198.676046673987,10244.078543332587,10628
/Users/a/Ayanami/code/TSP/data/classic/tsplib/att48.tsp,polyak,33,polyak,33,10235.1275700888,10244.078543332587,10628
/Users/a/Ayanami/code/TSP/data/classic/tsplib/att48.tsp,polyak,34,polyak,34,10170.629158318683,10244.078543332587,10628
/Users/a/Ayanami/code/TSP/data/classic/tsplib/att48.tsp,polyak,35,polyak,35,10316.95040780926,10316.95040780926,10628
/Users/a/Ayanami/code/TSP/data/classic/tsplib/att48.tsp,polyak,36,polyak,36,10251.227764702027,10316.95040780926,10628
/Users/a/Ayanami/code/TSP/data/classic/tsplib/att48.tsp,polyak,37,polyak,37,10340.698047989092,10340.698047989092,10628
/Users/a/Ayanami/code/TSP/data/classic/tsplib/att48.tsp,polyak,38,polyak,38,10200.344338280122,10340.698047989092,10628
/Users/a/Ayanami/code/TSP/data/classic/tsplib/att48.tsp,polyak,39,polyak,39,10224.521374277349,10340.698047989092,10628
/Users/a/Ayanami/code/TSP/data/classic/tsplib/att48.tsp,polyak,40,polyak,40,10306.127843590781,10340.698047989092,10628
/Users/a/Ayanami/code/TSP/data/classic/tsplib/att48.tsp,polyak,41,polyak,41,10265.24933779088,10340.698047989092,10628
/Users/a/Ayanami/code/TSP/data/classic/tsplib/att48.tsp,polyak,42,polyak,42,10198.635051112145,10340.698047989092,10628
/Users/a/Ayanami/code/TSP/data/classic/tsplib/att48.tsp,polyak,43,polyak,43,10211.036796124687,10340.698047989092,10628
/Users/a/Ayanami/code/TSP/data/classic/tsplib/att48.tsp,polyak,44,polyak,44,10198.903161507695,10340.698047989092,10628
/Users/a/Ayanami/code/TSP/data/classic/tsplib/att48.tsp,polyak,45,polyak,45,10207.391266235329,10340.698047989092,10628
/Users/a/Ayanami/code/TSP/data/classic/tsplib/att48.tsp,polyak,46,polyak,46,10295.526738065437,10340.698047989092,10628
/Users/a/Ayanami/code/TSP/data/classic/tsplib/att48.tsp,polyak,47,polyak,47,10373.373925336546,10373.373925336546,10628
/Users/a/Ayanami/code/TSP/data/classic/tsplib/att48.tsp,polyak,48,polyak,48,10346.473275885603,10373.373925336546,10628
/Users/a/Ayanami/code/TSP/data/classic/tsplib/att48.tsp,polyak,49,polyak,49,10409.688395992331,10409.688395992331,10628
/Users/a/Ayanami/code/TSP/data/classic/tsplib/att48.tsp,polyak,50,polyak,50,10341.305561344428,10409.688395992331,10628
/Users/a/Ayanami/code/TSP/data/classic/tsplib/att48.tsp,polyak,51,polyak,51,10299.722636258482,10409.688395992331,10628
/Users/a/Ayanami/code/TSP/data/classic/tsplib/att48.tsp,polyak,52,polyak,52,10301.754007319874,10409.688395992331,10628
/Users/a/Ayanami/code/TSP/data/classic/tsplib/att48.tsp,polyak,53,polyak,53,10321.188158121742,10409.688395992331,10628
/Users/a/Ayanami/code/TSP/data/classic/tsplib/att48.tsp,polyak,54,polyak,54,10291.366706243127,10409.688395992331,10628
/Users/a/Ayanami/code/TSP/data/classic/tsplib/att48.tsp,polyak,55,polyak,55,10280.027143309562,10409.688395992331,10628
/Users/a/Ayanami/code/TSP/data/classic/tsplib/att48.tsp,polyak,56,polyak,56,10423.220157079631,10423.220157079631,10628
/Users/a/Ayanami/code/TSP/data/classic/tsplib/att48.tsp,polyak,57,polyak,57,10370.158730973866,10423.220157079631,10628
/Users/a/Ayanami/code/TSP/data/classic/tsplib/att48.tsp,polyak,58,polyak,58,10374.397989859452,10423.220157079631,10628
/Users/a/Ayanami/code/TSP/data/classic/tsplib/att48.tsp,polyak,59,polyak,59,10339.877774683589,10423.220157079631,10628
/Users/a/Ayanami/code/TSP/data/classic/tsplib/att48.tsp,polyak,60,polyak,60,10392.7048944913,10423.220157079631,10628
/Users/a/Ayanami/code/TSP/data/classic/tsplib/att48.tsp,polyak,61,polyak,61,10313.989122756444,10423.220157079631,10628
/Users/a/Ayanami/code/TSP/data/classic/tsplib/att48.tsp,polyak,62,polyak,62,10307.717165500608,10423.220157079631,10628
/Users/a/Ayanami/code/TSP/data/classic/tsplib/att48.tsp,polyak,63,polyak,63,10355.191084839365,10423.220157079631,10628
/Users/a/Ayanami/code/TSP/data/classic/tsplib/att48.tsp,polyak,64,polyak,64,10300.813486936078,10423.220157079631,10628
/Users/a/Ayanami/code/TSP/data/classic/tsplib/att48.tsp,polyak,65,polyak,65,10292.097204848264,10423.220157079631,10628
/Users/a/Ayanami/code/TSP/data/classic/tsplib/att48.tsp,polyak,66,polyak,66,10332.005756266813,10423.220157079631,10628
/Users/a/Ayanami/code/TSP/data/classic/tsplib/att48.tsp,polyak,67,polyak,67,10373.239068642992,10423.220157079631,10628
/Users/a/Ayanami/code/TSP/data/classic/tsplib/att48.tsp,polyak,68,polyak,68,10381.383771953997,10423.220157079631,10628
/Users/a/Ayanami/code/TSP/data/classic/tsplib/att48.tsp,polyak,69,polyak,69,10373.620859785169,10423.220157079631,10628
