instance,strategy,iteration,phase,phase_iteration,lower_bound,best_lower_bound,concorde_optimum
/Users/a/Ayanami/code/TSP/data/classic/tsplib/bays29.tsp,polyak,1,polyak,1,1622,1622,2020
/Users/a/Ayanami/code/TSP/data/classic/tsplib/bays29.tsp,polyak,2,polyak,2,1545.1428571428573,1622,2020
/Users/a/Ayanami/code/TSP/data/classic/tsplib/bays29.tsp,polyak,3,polyak,3,1706.8214285714284,1706.8214285714284,2020
/Users/a/Ayanami/code/TSP/data/classic/tsplib/bays29.tsp,polyak,4,polyak,4,1747.0192307692305,1747.0192307692305,2020
/Users/a/Ayanami/code/TSP/data/classic/tsplib/bays29.tsp,polyak,5,polyak,5,1790.157650042265,1790.157650042265,2020
/Users/a/Ayanami/code/TSP/data/classic/tsplib/bays29.tsp,polyak,6,polyak,6,1865.6635672020284,1865.6635672020284,2020
/Users/a/Ayanami/code/TSP/data/classic/tsplib/bays29.tsp,polyak,7,polyak,7,1932.9545042869213,1932.9545042869213,2020
/Users/a/Ayanami/code/TSP/data/classic/tsplib/bays29.tsp,polyak,8,polyak,8,1930.7020538984818,1932.9545042869213,2020
/Users/a/Ayanami/code/TSP/data/classic/tsplib/bays29.tsp,polyak,9,polyak,9,1930.5492023239267,1932.9545042869213,2020
/Users/a/Ayanami/code/TSP/data/classic/tsplib/bays29.tsp,polyak,10,polyak,10,1941.4490897279347,1941.4490897279347,2020
/Users/a/Ayanami/code/TSP/data/classic/tsplib/bays29.tsp,polyak,11,polyak,11,1966.8082167120629,1966.8082167120629,2020
/Users/a/Ayanami/code/TSP/data/classic/tsplib/bays29.tsp,polyak,12,polyak,12,1974.1235791325078,1974.1235791325078,2020
/Users/a/Ayanami/code/TSP/data/classic/tsplib/bays29.tsp,polyak,13,polyak,13,1992.3147812674972,1992.3147812674972,2020
/Users/a/Ayanami/code/TSP/data/classic/tsplib/bays29.tsp,polyak,14,polyak,14,1991.4166812656244,1992.3147812674972,2020
/Users/a/Ayanami/code/TSP/data/classic/tsplib/bays29.tsp,polyak,15,polyak,15,1992.2766349645742,1992.3147812674972,2020
/Users/a/Ayanami/code/TSP/data/classic/tsplib/bays29.tsp,polyak,16,polyak,16,1981.3490431460032,1992.3147812674972,2020
/Users/a/Ayanami/code/TSP/data/classic/tsplib/bays29.tsp,polyak,17,polyak,17,1961.2476366072531,1992.3147812674972,2020
/Users/a/Ayanami/code/TSP/data/classic/tsplib/bays29.tsp,polyak,18,polyak,18,1983.9916590576106,1992.3147812674972,2020
/Users/a/Ayanami/code/TSP/data/classic/tsplib/bays29.tsp,polyak,19,polyak,19,1992.4174810966963,1992.4174810966963,2020
/Users/a/Ayanami/code/TSP/data/classic/tsplib/bays29.tsp,polyak,20,polyak,20,1988.9261687778928,1992.4174810966963,2020
/Users/a/Ayanami/code/TSP/data/classic/tsplib/bays29.tsp,polyak,21,polyak,21,1989.972928646841,1992.4174810966963,2020
/Users/a/Ayanami/code/TSP/data/classic/tsplib/bays29.tsp,polyak,22,polyak,22,1981.7827642555458,1992.4174810966963,2020
/Users/a/Ayanami/code/TSP/data/classic/tsplib/bays29.tsp,polyak,23,polyak,23,1999.2654061542637,1999.2654061542637,2020
/Users/a/Ayanami/code/TSP/data/classic/tsplib/bays29.tsp,polyak,24,polyak,24,1992.0126325446267,1999.2654061542637,2020
/Users/a/Ayanami/code/TSP/data/classic/tsplib/bays29.tsp,polyak,25,polyak,25,1999.7540456370543,1999.7540456370543,2020
/Users/a/Ayanami/code/TSP/data/classic/tsplib/bays29.tsp,polyak,26,polyak,26,1997.7504003105009,1999.7540456370543,2020
/Users/a/Ayanami/code/TSP/data/classic/tsplib/bays29.tsp,polyak,27,polyak,27,2001.4533251301332,2001.4533251301332,2020
/Users/a/Ayanami/code/TSP/data/classic/tsplib/bays29.tsp,polyak,28,polyak,28,2000.6458608999344,2001.4533251301332,2020
/Users/a/Ayanami/code/TSP/data/classic/tsplib/bays29.tsp,polyak,29,polyak,29,1999.8139063807077,2001.4533251301332,2020
/Users/a/Ayanami/code/TSP/data/classic/tsplib/bays29.tsp,polyak,30,polyak,30,1986.0976333712615,2001.4533251301332,2020
/Users/a/Ayanami/code/TSP/data/classic/tsplib/bays29.tsp,polyak,31,polyak,31,1990.8298747959177,2001.4533251301332,2020
/Users/a/Ayanami/code/TSP/data/classic/tsplib/bays29.tsp,polyak,32,polyak,32,1987.1517821932916,2001.4533251301332,2020
/Users/a/Ayanami/code/TSP/data/classic/tsplib/bays29.tsp,polyak,33,polyak,33,1976.8081020049221,2001.4533251301332,2020
/Users/a/Ayanami/code/TSP/data/classic/tsplib/bays29.tsp,polyak,34,polyak,34,1971.8028725213267,2001.4533251301332,2020
/Users/a/Ayanami/code/TSP/data/classic/tsplib/bays29.tsp,polyak,35,polyak,35,1974.2944483842214,2001.4533251301332,2020
/Users/a/Ayanami/code/TSP/data/classic/tsplib/bays29.tsp,polyak,36,polyak,36,1973.3374541636047,2001.4533251301332,2020
/Users/a/Ayanami/code/TSP/data/classic/tsplib/bays29.tsp,polyak,37,polyak,37,1986.3956277960401,2001.4533251301332,2020
/Users/a/Ayanami/code/TSP/data/classic/tsplib/bays29.tsp,polyak,38,polyak,38,1970.0130201732977,2001.4533251301332,2020
/Users/a/Ayanami/code/TSP/data/classic/tsplib/bays29.tsp,polyak,39,polyak,39,1992.7792455748611,2001.4533251301332,2020
/Users/a/Ayanami/code/TSP/data/classic/tsplib/bays29.tsp,polyak,40,polyak,40,1988.8261575335205,2001.4533251301332,2020
/Users/a/Ayanami/code/TSP/data/classic/tsplib/bays29.tsp,polyak,41,polyak,41,2000.821751370459,2001.4533251301332,2020
/Users/a/Ayanami/code/TSP/data/classic/tsplib/bays29.tsp,polyak,42,polyak,42,2002.2590484471154,2002.2590484471154,2020
/Users/a/Ayanami/code/TSP/data/classic/tsplib/bays29.tsp,polyak,43,polyak,43,2004.2288858211675,2004.2288858211675,2020
/Users/a/Ayanami/code/TSP/data/classic/tsplib/bays29.tsp,polyak,44,polyak,44,2006.6913690306706,2006.6913690306706,2020
/Users/a/Ayanami/code/TSP/data/classic/tsplib/bays29.tsp,polyak,45,polyak,45,2005.0826204835546,2006.6913690306706,2020
/Users/a/Ayanami/code/TSP/data/classic/tsplib/bays29.tsp,polyak,46,polyak,46,2005.7179287562624,2006.6913690306706,2020
/Users/a/Ayanami/code/TSP/data/classic/tsplib/bays29.tsp,polyak,47,polyak,47,2009.1190975384941,2009.1190975384941,2020
/Users/a/Ayanami/code/TSP/data/classic/tsplib/bays29.tsp,polyak,48,polyak,48,2004.5613165447073,2009.1190975384941,2020
/Users/a/Ayanami/code/TSP/data/classic/tsplib/bays29.tsp,polyak,49,polyak,49,2006.672367857208,2009.1190975384941,2020
/Users/a/Ayanami/code/TSP/data/classic/tsplib/bays29.tsp,polyak,50,polyak,50,2007,2009.1190975384941,2020
/Users/a/Ayanami/code/TSP/data/classic/tsplib/bays29.tsp,polyak,51,polyak,51,2007,2009.1190975384941,2020
/Users/a/Ayanami/code/TSP/data/classic/tsplib/bays29.tsp,polyak,52,polyak,52,2007,2009.1190975384941,2020
/Users/a/Ayanami/code/TSP/data/classic/tsplib/bays29.tsp,polyak,53,polyak,53,2007,2009.1190975384941,2020
/Users/a/Ayanami/code/TSP/data/classic/tsplib/bays29.tsp,polyak,54,polyak,54,2007,2009.1190975384941,2020
